id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
147,Yobe,Q3 2021,33,0,14,0,0,2,0,8,7,0,1,0,0,0,0,0,1
148,Zamfara,Q3 2021,9,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,2
149,Abia,Q4 2021,8,0,2,0,7,0,0,2,1,0,2,0,0,0,0,2,0
150,Adamawa,Q4 2021,62,0,4,0,0,0,0,10,0,0,3,13,0,0,0,0,0
151,Akwa Ibom,Q4 2021,12,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0
152,Anambra,Q4 2021,24,0,1,3,12,0,0,8,0,3,6,2,0,1,0,1,0
153,Bauchi,Q4 2021,124,2,18,2,0,9,1,29,21,5,9,9,2,0,0,1,8
154,Bayelsa,Q4 2021,16,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
155,Benue,Q4 2021,34,1,2,0,0,0,0,3,4,1,1,0,0,1,0,0,0
156,Borno,Q4 2021,13,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,1
157,Cross River,Q4 2021,48,0,2,1,3,2,0,6,3,0,2,2,0,0,0,0,0
158,Delta,Q4 2021,29,0,7,4,1,1,0,1,3,0,6,0,2,0,0,0,17
159,Ebonyi,Q4 2021,16,0,2,0,1,0,0,4,4,0,2,0,0,0,0,0,1
160,Edo,Q4 2021,61,0,1,0,6,0,0,3,2,0,0,0,0,0,0,0,14
161,Ekiti,Q4 2021,18,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,9
162,Enugu,Q4 2021,24,0,8,0,14,0,0,2,1,0,0,0,0,0,0,0,13
163,FCT,Q4 2021,172,0,8,3,4,0,3,6,31,0,15,5,2,0,0,0,74
164,Gombe,Q4 2021,44,5,7,0,0,5,0,5,27,1,2,4,0,0,0,0,12
165,Imo,Q4 2021,20,0,2,0,5,0,0,3,5,1,2,0,0,0,0,0,0
166,Jigawa,Q4 2021,142,2,14,0,0,9,2,7,4,1,10,9,0,0,0,0,12
167,Kaduna,Q4 2021,121,0,8,2,2,1,3,16,9,4,10,1,0,0,0,5,0
168,Kano,Q4 2021,30,0,1,1,0,1,1,3,3,0,6,0,0,0,0,0,5
169,Katsina,Q4 2021,11,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
170,Kebbi,Q4 2021,47,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1
171,Kogi,Q4 2021,105,0,5,7,15,1,0,20,7,0,16,3,5,1,0,0,39
172,Kwara,Q4 2021,64,0,4,6,2,0,0,18,9,0,3,0,0,0,0,0,26
173,Lagos,Q4 2021,84,0,4,17,6,0,0,12,13,1,5,1,0,2,0,3,1
174,Nasarawa,Q4 2021,92,1,4,25,9,4,8,22,20,22,4,6,0,3,0,0,33
175,Niger,Q4 2021,154,0,7,2,7,2,0,21,6,1,6,3,0,0,0,3,9
176,Ogun,Q4 2021,239,1,0,17,0,0,0,18,9,0,11,0,0,0,0,0,0
177,Ondo,Q4 2021,95,1,6,1,9,1,0,10,29,5,2,0,0,0,0,2,1
178,Osun,Q4 2021,73,0,9,5,6,0,2,11,6,1,19,0,0,0,0,0,0
179,Oyo,Q4 2021,101,1,12,7,8,2,2,15,17,2,10,0,1,1,0,5,1
180,Plateau,Q4 2021,31,0,2,5,21,0,0,5,6,0,0,0,0,2,0,0,2
181,Rivers,Q4 2021,14,0,5,0,6,0,2,4,3,0,2,1,0,0,0,0,0
